slenderness,elements,integration,normalized_tip,relative_residual
5,4,full,0.6663107314468791,2.284156075270787e-14
5,4,reduced,0.9848477501939481,4.105934376201313e-14
5,8,full,0.8887306391312524,3.588957991961153e-14
5,8,reduced,0.9962119375485504,4.584938822922578e-14
5,16,full,0.9696498810276669,1.8944400140359058e-13
5,16,reduced,0.9990529843871666,1.6918808116072963e-13
5,32,full,0.9922357354933317,4.06826741500399e-13
5,32,reduced,0.9997632460968771,4.93675221182089e-13
5,64,full,0.9980475644531859,1.380831914448985e-12
5,64,reduced,0.9999408115245261,1.4305871223113589e-12
10,4,full,0.33297758804696065,5.558925598510029e-14
10,4,reduced,0.9844959317324997,1.349680555663584e-13
10,8,full,0.6663107314468989,1.9689672451146458e-13
10,8,reduced,0.9961239829331427,2.932999953697557e-13
10,16,full,0.8887306391313088,4.000382371826935e-13
10,16,reduced,0.9990309957330185,5.572007508260606e-13
10,32,full,0.9696498810286014,2.08723341206385e-12
10,32,reduced,0.9997577489326361,1.9129252512005005e-12
10,64,full,0.9922357354955821,7.001570464985082e-12
10,64,reduced,0.9999394372318601,5.024443729069653e-12
20,4,full,0.11095305832148047,2.958447522506885e-14
20,4,reduced,0.9844054094515675,5.380455552779764e-13
20,8,full,0.3329775880470633,4.0504813011891e-13
20,8,reduced,0.996101352363339,8.385928347942899e-13
20,16,full,0.666310731446175,1.9069983404009774e-12
20,16,reduced,0.9990253380903502,1.6149081245745042e-12
20,32,full,0.8887306391278952,6.25112423021966e-12
20,32,reduced,0.9997563345200273,6.6469917477230144e-12
20,64,full,0.9696498810377175,2.7866857527718737e-11
20,64,reduced,0.9999390836339086,2.719322419203435e-11
50,4,full,0.019577084771286984,2.1344019601872894e-14
50,4,reduced,0.9843798734794742,2.9700346380225555e-12
50,8,full,0.07396432169740529,4.342740640279118e-13
50,8,reduced,0.9960949683680204,9.458701023176779e-12
50,16,full,0.24213028083650576,6.643128174553504e-12
50,16,reduced,0.9990237420941567,2.409584962676349e-11
50,32,full,0.5610091871878368,3.610536348879297e-11
50,32,reduced,0.9997559355056757,4.868302476751312e-11
50,64,full,0.8363822947437792,1.3217073097425352e-10
50,64,reduced,0.9999389839241567,2.1113901140653361e-10
100,4,full,0.004967203719034596,5.3668690874551984e-14
100,4,reduced,0.9843762186557286,1.502387798307772e-11
100,8,full,0.019577084771291078,5.7908415616576e-13
100,8,reduced,0.996094054674337,2.6670287605530476e-11
100,16,full,0.07396432169736132,6.3628128132644094e-12
100,16,reduced,0.9990235136436548,1.2462571924866626e-10
100,32,full,0.2421302808388029,6.682619630645312e-11
100,32,reduced,0.999755878469112,3.295804873230992e-10
100,64,full,0.5610091871693532,3.2063169403865567e-10
100,64,reduced,0.9999389695803573,5.314612646593784e-10
200,4,full,0.0012464444373421967,3.1092588173845384e-14
200,4,reduced,0.9843753046843072,3.4751743759521194e-11
200,8,full,0.004967203719037356,9.203110038482196e-13
200,8,reduced,0.9960938262336198,1.0860300759200349e-10
200,16,full,0.01957708477136755,7.007361601554162e-12
200,16,reduced,0.9990234565418386,3.3188578110364955e-10
200,32,full,0.07396432169735084,6.499442615097925e-11
200,32,reduced,0.9997558633744953,7.551083635381544e-10
200,64,full,0.24213028095379757,6.583344817228363e-10
200,64,reduced,0.9999389655386207,1.891973203898222e-09
500,4,full,0.00019964013585767085,3.901671861971798e-14
500,4,reduced,0.9843750487559049,4.833174991503773e-10
500,8,full,0.0007980825555012094,4.888492388488779e-13
500,8,reduced,0.996093761751081,5.545889584226927e-10
500,16,full,0.003184705248886073,4.382079075829082e-12
500,16,reduced,0.9990234399742822,1.7309647297091434e-09
500,32,full,0.012618264634485685,9.894152045413309e-11
500,32,reduced,0.9997558584367405,6.6366172567874675e-09
500,64,full,0.04863210042916365,5.600156850332345e-10
500,64,reduced,0.9999389619632246,1.3890805213860066e-08
1000,4,full,4.991750811799454e-05,2.98499311966901e-14
1000,4,reduced,0.9843750121625318,1.2033298896525535e-09
1000,8,full,0.00019964013585767643,4.928575998537468e-13
1000,8,reduced,0.9960937504848919,2.8505160022744466e-09
1000,16,full,0.000798082555498941,9.418632940850441e-12
1000,16,reduced,0.9990234376845382,6.68478364508546e-09
1000,32,full,0.0031847052489846453,6.747085373896548e-11
1000,32,reduced,0.9997558595645047,2.7727955245886988e-08
1000,64,full,0.012618264635123064,7.896114287228878e-10
1000,64,reduced,0.9999389680534643,8.087049487161042e-08
